,samples,paired_end,Archaea|Candidatus Bathyarchaeota,Archaea|Candidatus Woesearchaeota,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Caldiserica,Bacteria|Calditrichaeota,Bacteria|Candidatus Adlerbacteria,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Andersenbacteria,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Azambacteria,Bacteria|Candidatus Beckwithbacteria,Bacteria|Candidatus Berkelbacteria,Bacteria|Candidatus Bipolaricaulota,Bacteria|Candidatus Campbellbacteria,Bacteria|Candidatus Chisholmbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Collierbacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Jorgensenbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Kapabacteria,Bacteria|Candidatus Kerfeldbacteria,Bacteria|Candidatus Latescibacteria,Bacteria|Candidatus Levybacteria,Bacteria|Candidatus Liptonbacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Moranbacteria,Bacteria|Candidatus Niyogibacteria,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Pacebacteria,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Roizmanbacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Schekmanbacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Sungbacteria,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Uhrbacteria,Bacteria|Candidatus Vogelbacteria,Bacteria|Candidatus Wildermuthbacteria,Bacteria|Candidatus Wolfebacteria,Bacteria|Candidatus Yanofskybacteria,Bacteria|Candidatus Yonathbacteria,Bacteria|Candidatus Zambryskibacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Coprothermobacterota,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Fibrobacteres,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Kiritimatiellaeota,Bacteria|Lentisphaerae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division CPR2,Bacteria|candidate division NC10,Bacteria|candidate division WPS-2,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Basidiomycota,Eukaryota|Chlorophyta,Eukaryota|Mucoromycota
0,A01,R1,0,0,0.00025,0.00288,0.00016,0.39156,7.16024,0,0.00445,0.23882,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0.00025,0,0.00025,0,0,0,0,0,0,0,0,0.00032,0,0,0.00024,0,0,0.00127,0,0,0,0.00215,0.01769,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0.02332,0.02103,0.0002,0,0.02109,0,0.02942,0,0.00024,0,0.05981,0,0.04306,0,0,0,0,0.02471,0.02214,15.06817,0.00061,0,0,0.00064,0,0,0.19291,0.00172,0,0.00089,0,0.0001,0,0.00014,0.00496,0.00089,0.00034,0.00025
1,A03,R2,0,0,0,0.04178,0.01153,0.21995,3.6387,0,0.00107,0.41259,0,0,0,0,0,0,0.00064,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0.0002,0,0.00794,0.00563,0,0.00018,0.0029,0.04112,0.00016,0,0,0,0,0,0.00013,0,0,0,0,0,0.00112,0.01491,0.02166,0,0,0.0167,0,0.0251,0,0,0,0.14296,0,0.03264,0,0.00231,0.00158,0,0.04878,0.0182,14.8071,0.001,0.00666,0.00047,0,0,0.00161,0.10948,0,0,0.00821,0.00022,0.00026,0,0,0.0015,0.0008,0.00052,0
2,A05,R1,0.00033,0,0.00031,0.01264,0.01973,0.10114,2.94037,0,0.00199,3.17064,0,0,0,0.00026,0.00025,0,0,0,0,0,0,0,0,0.0011,0,0.00031,0.00017,0,0,0,0,0,0,0.00011,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0.00653,0.00086,0,0,0.00132,0.00903,0,0,0.00184,0,0,0,0,0,0,0,0,0,0.01348,0.00926,0.00935,0,0,0.00894,0,0.01712,0,0.00024,0,0.08285,0.00016,0.02562,0.0036,0.00156,0.00067,0.00044,0.02025,0.01025,19.35333,0.00078,0.00022,0.00041,0,0,0.00068,0.0575,0,0,0.00566,0,0,0,0,0.00111,0.00021,0,0
3,A07,R2,0,0,0.00157,0.03469,0.01884,0.30573,8.48245,0.00242,0.00164,0.10275,0,0,0,0,0,0,0.00085,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317,0,0,0,0.00056,0.00423,0,0,0.00087,0,0,0,0,0,0,0,0,0,0.00145,0.00847,0.01322,0.00021,0,0.01122,0,0.01642,0,0,0,0.0521,0,0.01606,0,0,0,0.00053,0.01662,0.02791,12.48228,0.00083,0,0,0,0,0.0042,0.07226,0,0,0.0003,0,0,0,0,0.00135,0.00128,0.00034,0
4,A09,R1,0.00012,0,0,0.05373,0.07802,0.12027,1.70905,0,0,0.56069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0.0002,0,0,0,0,0.00051,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0.00017,0,0,0,0,0,0.00273,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578,0.00746,0,0,0.01215,0,0.00014,0,0.0001,0,0.03845,0,0.02856,0,0,0,0,0.01349,0.00746,15.26761,0.00055,0.00165,0,0,0,0,0.06736,0,0,0,0,0,0,0,0.0004,0,0,0
5,A11,R2,0,0,0,0.02562,0.00367,0.27231,4.51229,0,0.0016,0.80078,0,0,0.0003,0.00062,0.00034,0,0.00043,0,0,0,0,0,0,0,0,0.00018,0,0.00018,0,0,0,0,0,0.00021,0,0,0,0,0,0,0.00013,0,0,0,0,0.00019,0.00035,0,0.00273,0.00228,0,0,0.00049,0.01973,0,0,0.00201,0,0,0.00051,0,0,0,0,0,0,0.00855,0.01543,0.01861,0.00161,0,0.02145,0.00029,0.03505,0,0.00183,0,0.13842,0,0.03114,0.00239,0.0036,0.00132,0.00099,0.01611,0.03543,15.14594,0.00073,0.00374,0.0082,0.00611,0.00201,0.00132,0.22654,0,0,0.00191,0,0.00037,0.00097,0.00154,0.01305,0.00298,0.00048,0.00032
6,B01,R1,0,0,0.00119,0.039,0,0.25991,5.16737,0,0.00615,0.36702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155,0,0,0,0.00189,0.00234,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0.00619,0,0,0.00751,0,0.01722,0,0.00022,0,0.06513,0,0.01432,0,0.00017,0,0,0.01314,0.03188,15.91632,0.00093,0,0,0,0,0,0.1773,0,0,0.00042,0,0,0,0,0.00301,0,0,0.00028
7,B03,R2,0.00011,0,0.00397,0.0412,0.06771,0.2157,6.21064,0.00495,0.00406,0.2862,0,0,0.00142,0.00079,0.00092,0,0.00178,0,0,0,0.00117,0,0,0.00078,0,0.00014,0.00029,0,0.00033,0.00024,0,0.00026,0,0.0003,0,0,0,0,0,0.0001,0.00022,0,0.00021,0.0002,0,0.00033,0.00054,0,0.00358,0.00293,0,0,0.00274,0.05232,0,0,0.00493,0,0.00014,0.00092,0.00025,0,0,0,0,0.00074,0.00707,0.0242,0.03536,0.00108,0,0.05574,0.00129,0.04488,0,0.00448,0.00046,0.29016,0.00017,0.06508,0.00394,0.00294,0.00117,0.00155,0.03756,0.03084,12.93999,0.00133,0.00444,0.01246,0.02702,0.00115,0.00435,0.11613,0,0,0.00599,0,0.00089,0.00151,0,0.00266,0.00097,0.00033,0
8,B05,R1,0.00031,0,0,0.02005,0.00716,0.14846,2.08492,0,0,2.65102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0.00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0.00117,0.00045,0,0.00695,0,0.00088,0,0,0,0.04264,0.00011,0.04132,0,0,0,0,0.04962,0.00684,23.22831,0.0007,0.00011,0,0,0,0,0.05288,0,0,0.01702,0,0,0,0,0.00068,0.00024,0.00021,0
9,B07,R2,0,0,0.00924,0.00039,0.05422,0.22065,3.74849,0,0.00097,0.44177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.0005,0,0,0,0,0.00015,0,0,0,0,0.00011,0.0004,0,0,0,0,0,0,0,0,0.00029,0,0,0.00023,0,0,0.00582,0.0086,0,0,0.00294,0,0,0.00153,0,0,0,0,0,0,0,0.01653,0.01693,0.00561,0,0.01379,0,0.03256,0,0.00014,0,0.11867,0,0.06063,0,0,0.00317,0,0.04769,0.02243,15.3231,0.00103,0.00278,0.00212,0.00024,0,0,0.14161,0,0,0.01211,0,0.00018,0,0,0.00258,0.00092,0.00067,0.00022
10,B09,R1,0,0,0,0.03849,0.06434,0.17263,1.6806,0,0.0047,0.89181,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0.00014,0.00023,0,0,0,0.00041,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0.0003,0,0.0001,0.00209,0.02385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01432,0.00138,0,0,0.00099,0,0.00142,0,0,0,0.02874,0,0.02916,0,0,0.00304,0,0.00983,0.01458,19.23548,0.0005,0.00194,0,0,0,0.00404,0.08184,0,0,0.00976,0,0,0,0,0.00033,0.00058,0.00049,0
11,B11,R2,0,0,0,0.03164,0.0032,0.30791,3.54862,0,0.00329,0.64416,0,0,0.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0.00071,0,0.00019,0,0,0,0,0,0,0,0.00012,0,0,0,0,0.00025,0,0.00327,0.0001,0,0,0.00101,0.00751,0,0,0.00194,0,0.00015,0,0,0,0,0,0,0,0.00151,0.00703,0.01319,0,0,0.0092,0,0.01455,0,0.00016,0,0.07239,0,0.03634,0,0,0.00124,0.00122,0.0138,0.02779,16.79017,0.00096,0,0,0,0,0.00481,0.14358,0,0,0.00018,0,0,0,0.00019,0.00305,0.0008,0.00016,0.00018
12,C01,R1,0,0,0,0.00253,0.00042,0.31979,8.27919,0,0.00468,0.46219,0,0,0,0,0.00032,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0.00068,0.00011,0,0,0.00072,0.02669,0,0,0,0,0,0.0004,0,0,0,0,0,0.00028,0.00152,0.01948,0.00989,0,0,0.02324,0,0.02945,0,0.00099,0,0.08739,0,0.02451,0,0.00426,0.00188,0.00129,0.0211,0.02768,13.8619,0.00079,0.00036,0.00315,0.0052,0,0.00269,0.18826,0.0003,0,0.00317,0.00049,0.00019,0,0.00036,0.00613,0.00132,0.00018,0.00029
13,C03,R2,0,0,0,0.05259,0.03903,0.14686,5.41133,0,0,0.11363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0,0,0,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0.00232,0,0.00183,0,0,0,0,0,0.01457,0,0.04217,0,0,0,0,0.02554,0.00873,13.21031,0.00089,0,0,0,0,0,0.06861,0,0,0.00088,0,0,0,0,0.00046,0,0,0
14,C05,R1,0.00023,0,0,0.0131,0.00698,0.15362,2.2077,0,0.00209,5.4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0.00102,0,0,0.00011,0,0,0.00043,0,0.00023,0,0,0.0005,0,0,0.00061,0.00134,0,0.00811,0,0,0,0.00095,0.02458,0,0,0.00013,0,0,0,0,0,0,0,0,0.00014,0.00577,0.02956,0.01175,0.00011,0,0.00685,0,0.03076,0,0.00011,0,0.05778,0,0.04943,0.00028,0,0,0.00171,0.02185,0.0125,22.53626,0.00087,0.00012,0,0.00455,0,0.0033,0.1047,0,0,0.00431,0,0.00506,0,0,0.00067,0.00015,0,0
15,C07,R2,0.00019,0,0.0033,0.04944,0.07236,0.17173,5.09394,0.00058,0.00321,0.37616,0,0,0,0.00016,0.0003,0.00016,0.0019,0,0,0,0.00185,0,0,0,0,0,0.00046,0,0,0,0,0.00026,0,0,0,0.00011,0.00011,0.00023,0,0.00014,0.00011,0,0.00017,0,0,0,0.00039,0,0.0011,0.00029,0,0,0.00474,0.01949,0,0,0.00292,0,0,0.00056,0,0,0,0,0,0,0.00308,0.02146,0.04572,0,0.00211,0.03245,0.0008,0.03971,0,0.0022,0.00011,0.25261,0,0.04824,0.00378,0.0038,0.00144,0.00144,0.05105,0.02858,11.00351,0.00114,0.00515,0.01286,0.00707,0,0.00174,0.10752,0,0,0.01008,0,0.00135,0.00383,0,0.00409,0.00148,0.00089,0.00012
16,C09,R1,0,0,0,0.0611,0.0109,0.15766,1.25524,0,0,0.75671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499,0,0,0,0.00377,0,0,0,0,0,0.00027,0,0,0,0,0,0,0.00746,0,0.00052,0.00109,0,0,0.01777,0,0.00919,0,0,0,0.04805,0,0.09818,0,0,0,0,0.04641,0.01335,17.73939,0.00063,0,0,0,0,0.00194,0.08872,0,0,0.00098,0.00031,0,0,0,0.00039,0.00022,0,0
17,C11,R2,0,0,0,0.02949,0,0.2077,3.00115,0,0.00089,1.0088,0,0,0,0,0,0,0,0,0,0,0,0.01318,0,0,0,0,0.00011,0.00042,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0.08284,0,0,0,0,0,0,0,0,0.00035,0,0,0,0,0.02532,0.00553,0,0,0.01438,0,0.00251,0,0,0,0.04072,0,0.03633,0.00028,0,0,0.0012,0.01748,0.01698,18.43353,0.00029,0.00057,0.0104,0,0,0.00426,0.17565,0,0.00012,0.00029,0,0.00016,0,0.00023,0.00505,0.00122,0.0006,0.00017
18,D01,R1,0,0,0,0.04064,0.00617,0.31951,11.79747,0,0.00277,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0.00143,0,0,0.01258,0,0.01542,0,0,0,0.04214,0,0.01834,0,0,0,0.00011,0,0.03996,10.24351,0.0004,0.00013,0,0,0,0,0.11292,0,0,0.00017,0,0,0,0,0.00626,0.00085,0,0
19,D03,R2,0.00072,0,0,0,0.00867,0.08535,2.49695,0,0,0.11468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577,0,0,0.00037,0,0.00167,0,0,0,0.03753,0,0.0249,0,0,0,0,0.00259,0.00871,13.81583,0,0,0,0,0,0,0.0879,0,0,0,0,0,0,0,0.00021,0.00014,0,0
20,D05,R1,0.00011,0,0,0.06516,0.0082,0.16642,2.16644,0,0.00025,0.72231,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0.00041,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.00012,0,0,0.00017,0.00028,0,0.0007,0,0,0,0.00229,0.01789,0,0,0,0,0,0,0,0,0,0,0,0.00344,0.00133,0.00908,0.0149,0,0,0.01356,0,0.02113,0,0.00014,0,0.05777,0,0.02279,0,0.00468,0,0.00209,0.0252,0.01581,14.28287,0.001,0.00134,0.00019,0.00347,0,0,0.09024,0,0,0.00058,0.00023,0.00016,0,0,0.00119,0.00052,0.00024,0.00012
21,D07,R2,0,0,0,0.06744,0.01699,0.16326,2.18469,0,0,0.19667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0.00416,0.00104,0,0.00143,0,0,0,0,0,0.05549,0,0.04295,0.01026,0,0,0,0.04042,0.02701,17.42465,0.00043,0.00108,0,0,0,0,0.06278,0,0,0.01288,0,0,0,0,0.00042,0.00018,0,0.00022
