,sample_id,Site,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Abditibacteriota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Aerophobetes,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Buchananbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Desantisbacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Hydrogenedentes,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Latescibacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Margulisbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Ryanbacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division CPR1,Bacteria|candidate division CPR3,Bacteria|candidate division NC10,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Chytridiomycota,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
148,LM5,LM,0,0,0,0,0,11.57249,0,0,3.68994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0.02412,0,0,0,0,0.40306,0,0,0,0,0,0,1.51023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0.00035,0,0,0,0,0,0.00012,0,0
149,LM6,LM,0,0,0,0,0,7.71119,0,0,5.02892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0.00206,0,0.06494,0,0,0,0,4.99733,0,0,0,0,0,0,1.2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00725,0,0.00015,0,0.00123,0,0,0,0.00029,0,0
150,LM7,LM,0,0.08438,0,0,0.04982,3.09385,0.26224,0.00028,0.20867,0,0.00273,0,0,0.00492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01758,0,0,0.00067,0,0.28598,0.00315,0,0,0,0,0.00022,0,0.00022,0.00028,0,0,0,0.02644,0,22.09325,0,0.05723,0,0,2.96579,0.00353,0,0,0,0.00296,0.00111,4.51239,0,0.11828,0.01305,1.45055,0.06959,0.01374,0.00061,0,0,0.00026,0,0,0.00877,0.08763,0.00022,0.01783,0,0.01479,0,0.0002,0.00044,0.00282,0,0
151,LM8,LM,0,0.10321,0,0,0.04211,2.59219,0.2347,0.00074,0.5669,0,0,0,0,0.00533,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0.33649,0.00304,0,0,0,0,0.00013,0,0.00023,0,0,0,0,0.00057,0,21.43815,0,0.04553,0,0,1.50193,0.01006,0.00469,0,0,0.0047,0.00187,4.64787,0,0.10328,0.01388,2.01233,0.03593,0.01323,0.00052,0,0,0.00026,0,0.00338,0.0138,0.09126,0.00014,0.01108,0,0.01023,0,0.00019,0.00036,0.0027,0,0
152,LM9,LM,0,0.09729,0,0,0.00083,2.02895,0.12887,0,0.3697,0,0,0,0,0.01157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01142,0,0,0,0,0.17903,0.00241,0.00615,0,0,0.00019,0.00012,0,0.0002,0,0,0,0,0.01743,0,18.57348,0,0.03619,0,0,1.89931,0.0059,0,0.00014,0,0.00027,0.00066,6.40449,0,0.04054,0.01043,1.23613,0.05008,0.01418,0.00022,0,0,0.00029,0,0,0.05147,0.09042,0.00017,0.02748,0,0.02108,0,0.00271,0.00061,0.00171,0,0
153,LM10,LM,0,0.11619,0,0,0.05907,3.1759,0.25452,0,0.30049,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01367,0,0,0.00019,0,0.21862,0.00383,0,0,0,0,0.00022,0,0,0.00041,0,0,0,0.00043,0,20.93013,0,0.04514,0,0,3.29635,0.00362,0,0.00022,0,0.00054,0.00226,6.04629,0,0.13879,0.01244,0.46928,0,0.02029,0.00037,0,0,0.00022,0,0,0.01048,0.10836,0.00011,0.06766,0,0.01989,0,0.00069,0.00038,0.00313,0,0
154,LM11,LM,0,0.1077,0,0,0.08,4.76917,0.23847,0,0.56904,0,0,0,0,0.00753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296,0,0,0.00015,0,0.16544,0.00246,0,0,0,0,0.00015,0,0.00022,0,0,0,0.00013,0.00073,0,19.16454,0,0.05996,0,0,2.18925,0.00209,0,0.00019,0,0.00198,0.0008,10.07229,0,0.10044,0.00953,1.30852,0,0.01633,0.00041,0,0,0,0,0,0.01906,0.1414,0.00026,0.0522,0,0.02223,0,0.00038,0.0006,0.0028,0,0.00016
155,LM12,LM,0,0.09995,0,0,0.00067,2.23817,0.11749,0,0.31171,0,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386,0,0,0,0,0.17588,0.00235,0.0062,0,0,0,0.00012,0,0.0002,0.00019,0,0,0,0.01736,0,19.65814,0,0.03522,0,0,2.81024,0.00572,0.00143,0,0,0.00023,0.00082,5.2962,0,0.0441,0.00844,0.04203,0.04663,0.01493,0,0,0,0.0003,0,0,0.03923,0.13524,0.00013,0.07499,0,0.01532,0,0.00016,0.0005,0.00159,0,0
156,LM13,LM,0,0.09931,0,0,0.00069,2.08479,0.18244,0,0.30244,0,0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01065,0,0,0.00013,0,0.27156,0.0021,0.00613,0,0,0,0.00019,0,0.0002,0.00021,0,0,0,0.00029,0,17.07191,0,0.04286,0,0,3.80616,0.00407,0,0,0,0.00337,0.00048,5.56851,0,0.03867,0.00884,0.64382,0,0.01669,0.00069,0,0,0.00031,0,0,0.00581,0.08392,0.00029,0.02499,0,0.01652,0,0.00042,0.0003,0.00183,0,0
157,LM14,LM,0,0.12288,0,0,0.06393,4.07025,0.08819,0,0.60755,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0.01158,0,0,0.00011,0,0.13888,0.00209,0,0,0,0,0,0,0,0.0002,0,0,0,0.01643,0,14.26828,0,0.04173,0,0,1.16639,0.00573,0,0.00044,0,0.00388,0.0004,11.31785,0,0.03263,0.00896,0.64561,0.05781,0.01812,0,0.00013,0,0.00022,0,0,0.05518,0.15927,0,0.058,0,0.0186,0,0,0.00072,0.00303,0,0
158,LM15,LM,0,0.08481,0,0,0,2.26761,0.00154,0,0.26644,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0.00665,0,0,0,0,0.27563,0.0023,0.00621,0,0,0,0.00014,0,0,0.00014,0,0,0,0.00055,0,19.71562,0,0.04275,0,0,3.13803,0.00417,0,0,0,0.00168,0.00372,4.65558,0,0.04576,0.01374,0.57323,0,0.01441,0.00074,0,0,0.00024,0,0,0.07281,0.08242,0,0.02831,0,0.01571,0,0.00045,0.00039,0.00218,0,0
159,LM16,LM,0,0.16401,0,0,0.06762,3.45066,0.23095,0,0.4236,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278,0,0,0.00015,0,0,0.00249,0.00608,0,0,0,0.00021,0,0.00039,0.00016,0,0,0.00021,0.00043,0,13.76964,0,0.05152,0,0,2.36927,0.00623,0,0.0002,0,0.00099,0.0008,5.25465,0,0.09993,0.01409,1.19126,0,0.03523,0.00042,0,0,0.00026,0,0,0.01438,0.19396,0.00028,0.04528,0,0.01746,0,0.0003,0.00066,0.0029,0,0.00026
160,LM17,LM,0,0.14536,0,0,0.05758,3.07861,0.24205,0,0.62023,0,0,0,0,0.00499,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0.01438,0,0,0.00018,0,0,0.0026,0,0,0,0,0,0,0.00036,0,0,0,0.00018,0.00022,0,14.73965,0,0.04365,0,0,1.94892,0.00229,0,0,0,0.00043,0.00042,6.04556,0,0.38101,0.01004,1.02395,0.00011,0.02007,0.00023,0,0,0.00011,0,0,0.03184,0.1188,0.00057,0.05078,0,0.01539,0,0.00041,0.00047,0.00233,0,0
161,LM18,LM,0,0.17526,0,0,0.05612,3.02685,0.17973,0,0.36453,0,0,0,0,0.00508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332,0.00913,0,0,0,0.15107,0.0024,0,0,0,0.00011,0.00018,0,0,0.0003,0,0,0,0.00143,0,13.70119,0,0.06376,0,0,2.66551,0.00812,0.00175,0,0,0.00082,0.0004,8.57171,0,0.05782,0.02692,0.70059,0,0.02178,0.0004,0,0,0.00094,0,0,0.00851,0.12235,0.00057,0.06952,0,0.01938,0,0.00027,0.00047,0.00292,0,0.00016
162,LM19,LM,0,0.16653,0,0,0.05555,3.33856,0.19888,0,0.56671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409,0,0,0,0,0,0.00389,0,0,0,0.00016,0.00024,0,0,0,0,0,0,0.00047,0,14.25928,0,0.06493,0,0,3.1575,0.00389,0,0,0,0.00305,0,8.65631,0.00018,0.0947,0.00358,0.43625,0,0.02812,0,0,0,0.00045,0,0,0.00892,0.10329,0,0.02339,0,0.01606,0,0,0.00056,0.00303,0,0.00011
163,LM20,LM,0,0.16945,0,0,0.05507,2.9415,0.16457,0,0.28717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01296,0,0,0.00028,0,0.1823,0.00244,0,0,0,0,0.00013,0,0.00034,0,0,0,0.0001,0.00049,0,16.19428,0,0.04122,0,0,2.27606,0.0044,0,0,0,0.00042,0.00047,3.12355,0,0.09222,0.0241,0.36642,0,0.02818,0.00055,0,0,0.00018,0,0,0.0107,0.10837,0.00059,0.02924,0,0.02004,0,0.00062,0.00056,0.00276,0,0
164,LM21,LM,0,0.17071,0,0,0.03704,2.40038,0.18135,0,0.22401,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01013,0,0,0,0,0.19559,0.00261,0,0,0,0,0,0,0.00051,0,0,0,0,0.00012,0,15.57894,0,0.09714,0,0,1.38601,0.00764,0.00381,0,0,0.0003,0.00065,6.8403,0,0.05247,0.0068,1.1156,0,0.02277,0,0,0,0,0,0,0.00483,0.11353,0.00031,0.0399,0,0.0144,0,0.00016,0.00045,0.00233,0,0.00013
165,LM22,LM,0,0.19515,0,0,0.04271,2.90488,0.08462,0,0.45967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769,0,0,0.00013,0,0.25308,0.00213,0,0,0,0.0001,0.00014,0,0,0.00037,0,0,0,0.0145,0,14.47239,0,0.05016,0,0,2.45369,0.00429,0,0,0,0.00034,0.00078,6.51575,0,0.0334,0.01111,0.43556,0,0.02828,0,0,0,0.00027,0,0,0.08322,0.12583,0.00017,0.01893,0,0.02546,0,0.00051,0.00059,0.00281,0,0.00047
166,LM23,LM,0,0.14935,0,0,0.00193,1.89188,0.12772,0,0.25335,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01071,0,0,0,0,0.2323,0.00217,0,0,0,0,0.00019,0,0.0004,0.00025,0,0,0,0,0,13.23288,0,0.04932,0,0,1.64035,0.00345,0,0,0,0.00029,0.00021,6.16135,0,0.03324,0.00762,0.52692,0,0.02258,0.00092,0,0,0.00029,0,0,0.08001,0.10302,0.00035,0.04042,0,0.0115,0,0.00037,0.00053,0.00252,0,0
167,LM25,LM,0,0.16871,0,0,0.05727,3.26494,0.19507,0,0.31249,0,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0.0114,0,0,0.00012,0,0.29602,0.00248,0,0,0,0,0,0,0.00039,0.00021,0,0,0,0.00041,0,10.57947,0,0.06016,0,0,2.29461,0.00427,0,0,0,0.0004,0.00185,4.4382,0,0.07328,0.02626,0.96474,0.03866,0.029,0,0,0,0.00092,0.0059,0,0.02459,0.11958,0,0.01854,0,0.01883,0,0.00064,0.00071,0.00302,0,0
168,SLG21,SLG,0,0.08409,0,0,0.00073,1.87711,0.10962,0,0.26692,0,0,0,0,0.00705,0,0,0,0,0,0,0,0.00044,0.00046,0,0,0,0,0,0,0,0,0,0.00379,0,0,0,0,0.28241,0.00208,0.00678,0,0,0.00061,0.00021,0,0,0.00012,0,0,0,0.01827,0,20.31017,0,0.03168,0,0,3.20797,0.00327,0,0,0,0.0044,0.00069,2.98906,0,0.0434,0.01196,0.61893,0.02813,0.01482,0.00052,0,0,0.00018,0,0,0.02782,0.06647,0,0.02875,0,0.0167,0,0.00041,0.00029,0.00185,0,0.00023
169,LM28,LM,0,0.1186,0,0,0.02137,2.10213,0.06687,0,0.41032,0,0,0,0,0.00488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341,0,0,0,0,0,0.00224,0.00395,0,0,0.00012,0,0,0.00027,0,0,0,0,0.00072,0,13.04324,0,0.03177,0,0,1.75823,0.00378,0,0.00014,0,0.00167,0.00066,8.75763,0,0.03246,0.01308,0.82749,0.0077,0.0227,0.00228,0,0,0.00024,0,0,0.04377,0.1233,0,0.03006,0,0.018,0,0.0028,0.00056,0.00244,0,0
170,MKP1,MKP,0,0.17857,0,0,0.0442,2.27666,0.09381,0,0.43883,0,0,0,0,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382,0,0,0.00017,0,0.21948,0.00177,0,0,0,0,0,0,0,0.00022,0,0,0,0.00031,0,13.00031,0,0.04248,0,0,1.16565,0.00339,0,0.00011,0,0.00025,0.0004,3.8583,0,0.03261,0.02067,0.75742,0,0.02722,0.00042,0,0,0.00019,0,0,0.06929,0.09451,0.00036,0.03113,0,0.02362,0,0.00036,0.00048,0.00231,0,0
171,MKP2,MKP,0,0.14815,0,0,0.0375,1.47981,0,0,0.27954,0,0,0,0,0.00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221,0,0,0,0,0,0.0034,0.00451,0,0,0.00015,0.00018,0,0,0.00017,0,0,0,0.02991,0,13.27437,0,0.03843,0,0,4.93448,0.00589,0,0,0,0.00025,0.00127,4.42456,0,0.04255,0.00857,0.55175,0,0.02185,0,0,0,0.00016,0,0,0.05319,0.07979,0.00029,0.02647,0,0.02398,0,0.00067,0.00072,0.00279,0,0
172,MKP3,MKP,0,0.15598,0,0,0.03712,1.44031,0.13356,0,0.28375,0,0,0,0,0.00274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384,0,0,0,0,0.07112,0.00272,0,0,0,0,0.00011,0,0.00026,0.00017,0,0,0,0.00031,0.01751,12.52828,0,0.03657,0,0,1.16817,0.00464,0,0,0,0.00012,0.00085,5.66041,0,0.03736,0.00996,0.58893,0.02235,0.02147,0.0012,0,0,0.001,0,0,0.01082,0.0931,0.00013,0.0302,0,0.01793,0,0.00069,0.0004,0.00223,0,0
173,MKP4,MKP,0,0.13561,0,0,0.02682,1.59838,0.06232,0,0.22311,0,0,0,0,0.00479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00972,0,0,0,0,0,0.00203,0.00382,0,0,0,0,0,0,0,0,0,0,0.01248,0,13.41375,0,0.03014,0,0,1.50124,0.00518,0,0,0,0.00018,0.00016,5.81658,0,0.03171,0.01328,0.27737,0,0.02023,0.00077,0,0,0.00017,0,0,0.05478,0.09609,0,0.02266,0,0.01924,0,0.00049,0.00037,0.00214,0,0.00019
174,MKP5,MKP,0,0.18075,0,0,0.05861,2.81683,0.21682,0.00022,0.41511,0,0,0,0,0.00842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01273,0,0,0.00016,0,0,0.00269,0,0,0,0,0.00022,0,0.00045,0.00017,0,0,0.0002,0,0,16.31652,0,0.03816,0,0,1.78678,0.00315,0,0.0002,0,0.00399,0.0007,3.84806,0,0.11161,0.00882,0.33413,0.00011,0.02758,0.00049,0,0,0.00012,0.00863,0,0.02632,0.10323,0,0.02034,0,0.02288,0,0.00115,0.00044,0.00297,0,0.00013
175,MKP6,MKP,0,0.13411,0,0,0.02376,2.8587,0.13226,0,0.37471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748,0,0,0,0,0.25059,0.00174,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,10.36005,0,0.03513,0,0,2.43614,0.00672,0,0,0,0.00029,0.00026,5.79061,0,0.011,0.0302,0.83917,0.01599,0.00286,0.00736,0,0,0.00018,0,0,0.04722,0.09891,0,0.09641,0,0.01649,0,0.00165,0.00039,0.00151,0,0
176,MKP7,MKP,0,0.12573,0,0,0.02044,1.94543,0.21966,0,0.26477,0,0,0,0,0.00419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321,0,0,0,0,0.30898,0.00262,0,0,0,0,0.00016,0,0.00037,0,0,0,0,0.02457,0,17.77455,0,0.02864,0,0,2.78403,0.00749,0,0.00015,0,0.00046,0.00078,3.00184,0,0.10918,0.01704,0.36663,0.0002,0.01555,0,0,0,0.00127,0,0,0.01031,0.05695,0.00024,0.01624,0,0.00803,0,0.00022,0.00029,0.00142,0,0
177,MKP8,MKP,0,0.12258,0,0,0.00016,2.36878,0.23406,0,0.27134,0,0,0,0,0.00817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221,0,0,0.00016,0,0.20248,0.00237,0,0,0,0,0.00018,0,0.00035,0.0002,0,0,0,0.00042,0,15.69185,0,0.04032,0,0,2.85251,0.00216,0,0,0,0.00042,0.00021,4.00603,0,0.10416,0.01268,0.31088,0.04543,0.01794,0,0,0,0.00013,0,0,0.02121,0.08695,0.00029,0.01272,0,0.01223,0,0.00044,0.00032,0.00251,0,0
178,RF1,RF,0,0.15026,0,0,0,3.38635,0.2255,0,0.62582,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0.00017,0,0,0.00298,0,0,0,0.00012,0.00013,0,0.00038,0.00044,0,0,0.00021,0.00162,0,16.40752,0,0.06624,0,0.00051,2.98453,0.00213,0.00011,0,0,0.0045,0.00221,5.14466,0,0.09131,0.0108,1.23465,0,0.02872,0.00026,0,0,0.00154,0,0.00974,0.04039,0.15512,0.00039,0.03498,0,0.02157,0,0,0.00054,0.00346,0,0
179,RF2,RF,0,0.14774,0,0,0.07034,3.13025,0.17669,0,0.60323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0.00015,0,0,0.00224,0,0,0,0,0,0,0.00051,0.00024,0,0,0,0.01898,0,14.57811,0,0.0635,0,0,2.12782,0.00182,0.00347,0,0,0.00053,0.00023,4.72186,0,0.0823,0.00769,0.97091,0,0.02518,0,0,0,0.00012,0,0,0.04935,0.16081,0.00017,0.02065,0,0.01861,0,0.00087,0.00055,0.00298,0,0
180,RF3,RF,0,0.13817,0,0,0.03906,2.24964,0.08075,0,0.35053,0,0,0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716,0,0,0.00012,0,0.19945,0.00208,0,0,0,0,0,0,0.00026,0.00017,0,0,0,0.01417,0,14.26651,0,0.02861,0,0,2.27262,0.00325,0,0,0,0.00031,0.00678,4.94832,0,0.04116,0.00974,0.25972,0,0.01916,0.00271,0,0,0.00026,0,0,0.05205,0.12186,0,0.02549,0,0.01696,0,0.00017,0.00024,0.00255,0,0.00019
181,RF4,RF,0,0.17599,0,0,0.04157,2.87788,0.19383,0,0.29195,0,0,0,0,0.00802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0.00294,0,0,0,0,0.00021,0,0,0,0,0,0,0.00213,0,14.84607,0,0.03924,0,0,0.99015,0.00297,0,0,0,0,0.00064,5.18603,0,0.0955,0.01197,0.29613,0.03424,0.0284,0.00045,0,0,0.00037,0,0,0.01162,0.10208,0,0.02415,0,0.01856,0,0.00025,0.00037,0.00217,0,0
182,RF5,RF,0,0.12646,0,0,0.00197,1.73207,0,0,0.26135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939,0,0,0,0,0.11838,0.00232,0.00403,0,0,0.00172,0.00012,0,0,0.00013,0,0,0,0.00012,0,16.12206,0,0.02366,0,0,1.64912,0.00515,0,0,0,0,0.00022,3.51857,0,0.03341,0.01412,0.52751,0,0,0.00063,0,0,0.0002,0,0,0.00695,0.07409,0.00015,0.0259,0,0.01651,0,0.0023,0.00012,0.00198,0,0
183,RF6,RF,0,0,0,0,0,5.71398,0,0,1.02779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02137,0,0,0,0,0,0,0,0,0,0,0,0.04199,0,11.07189,0,0.14564,0,0,2.05977,0,0,0,0,0,0,10.14548,0,0.12925,0,0.1368,0,0,0,0,0,0,0,0,0.00017,0.1448,0,0.05019,0,0.33307,0,0,0,0.01156,0.00017,0
184,RF7,RF,0,0,0,0,0,8.62726,0,0,0.20592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64863,0,0,0,0,8.55198,0,0,0,0,0,0,7.80453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2104,0,0.02591,0,0.03955,0,0.03377,0,0.00346,0.00012,0
185,RF8,RF,0,0.10884,0,0,0.00081,1.75697,0.10872,0,0.43674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426,0,0,0,0,0.15071,0.00275,0.00489,0,0,0.00021,0.00014,0,0,0.00024,0,0,0,0.0002,0,16.50243,0,0.03345,0,0,3.81764,0.00455,0,0.00021,0,0.0015,0.00046,3.80923,0,0.03886,0.01581,0.25962,0,0.01703,0.00011,0,0,0.00032,0,0,0.01034,0.1072,0.00017,0.02565,0,0.01562,0,0.00234,0.00032,0.00206,0,0
186,RF9,RF,0,0.15341,0,0,0.05259,3.21738,0.10592,0,0.34314,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988,0,0,0,0,0.23887,0.00189,0,0,0,0,0.0001,0,0.00052,0.00024,0,0,0,0.0002,0,12.31326,0,0.05577,0,0,2.14202,0.0044,0,0.00021,0,0.00019,0.00031,5.65857,0,0.03574,0.01005,0.49452,0,0.02487,0,0,0,0.00011,0,0,0.10863,0.17804,0.00015,0.05669,0,0.01868,0,0.00743,0.00046,0.0039,0,0.00034
187,RF10,RF,0,0.16476,0,0,0.0267,1.78896,0.10052,0,0.34758,0,0,0,0,0.00731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0,0.00017,0,0.27144,0.00231,0.00899,0,0,0.00037,0.00025,0,0,0.00056,0,0,0,0.01481,0,14.99634,0,0.02566,0,0,2.10026,0.0047,0,0,0,0.00035,0.00086,3.57214,0,0.04273,0.01198,0.57421,0.04424,0.02311,0,0,0,0.00055,0,0,0.00501,0.0764,0.00018,0.01342,0,0.02247,0,0.00034,0.00024,0.00181,0,0
188,RF11,RF,0,0.13096,0,0,0,2.65974,0.15655,0,0.1978,0,0,0,0,0.00559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312,0,0,0.00015,0,0,0.00223,0,0,0,0,0.00016,0,0.00031,0.00032,0,0,0,0.00045,0,16.66261,0,0.03439,0,0,3.55678,0.00522,0,0,0,0.00617,0.00038,3.33591,0,0.09991,0.00841,0.82815,0,0.01983,0,0,0,0,0,0,0.01652,0.08315,0,0.01096,0,0.01442,0,0.00051,0.0004,0.00275,0,0
189,RF12,RF,0,0.17623,0,0,0.08471,1.45164,0.11204,0,0.43595,0,0,0,0,0.00546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00598,0,0,0,0,0.12841,0.00222,0,0,0,0.00018,0.00013,0,0.0003,0.00032,0,0,0,0.01397,0,13.83739,0,0.04018,0,0,3.68467,0.00482,0,0.00024,0,0.00503,0.0005,5.941,0,0.27987,0.00561,0.28595,0.03292,0.02019,0.00735,0,0,0.00027,0,0,0.00742,0.13791,0.0001,0.03698,0,0.02967,0,0.00027,0.00044,0.002,0,0
